date,Day Ahead Auction (DK1),"Wind onshore forecast (Day-Ahead, D-1 18:00)","Wind offshore forecast (Day-Ahead, D-1 18:00)","Load forecast (Day-Ahead, D-1 12:00)","Solar forecast (Day-Ahead, D-1 18:00)"
2019-12-31 23:00:00+00:00,33.42,1044.0,626.5,3214.0,0.0
2020-01-01 00:00:00+00:00,31.77,1173.4,740.0,3132.0,0.0
2020-01-01 01:00:00+00:00,31.57,1284.2,811.0,2988.0,0.0
2020-01-01 02:00:00+00:00,31.28,1676.0,875.1,2957.0,0.0
2020-01-01 03:00:00+00:00,30.85,1942.8,954.9,2932.0,0.0
2020-01-01 04:00:00+00:00,30.14,2113.3,970.8,2940.0,0.0
2020-01-01 05:00:00+00:00,30.17,2169.9,948.2,3026.0,0.0
2020-01-01 06:00:00+00:00,30.0,2121.9,966.4,3141.0,0.0
2020-01-01 07:00:00+00:00,30.63,2064.5,1061.4,3241.0,0.0
2020-01-01 08:00:00+00:00,30.59,2123.7,1095.9,3398.0,34.0
2020-01-01 09:00:00+00:00,30.27,2147.2,1119.2,3603.0,99.0
2020-01-01 10:00:00+00:00,30.34,2293.8,1137.1,3751.0,146.0
2020-01-01 11:00:00+00:00,30.59,2350.9,1139.6,3798.0,151.0
2020-01-01 12:00:00+00:00,30.04,2305.9,1125.7,3756.0,119.0
2020-01-01 13:00:00+00:00,30.6,2178.9,1095.2,3737.0,62.0
2020-01-01 14:00:00+00:00,31.09,2153.8,1066.6,3765.0,13.0
2020-01-01 15:00:00+00:00,31.53,2103.3,1047.2,4092.0,0.0
2020-01-01 16:00:00+00:00,31.78,2072.2,1038.2,4394.0,0.0
2020-01-01 17:00:00+00:00,31.64,2017.0,1037.8,4334.0,0.0
2020-01-01 18:00:00+00:00,31.44,1921.4,1035.7,4040.0,0.0
2020-01-01 19:00:00+00:00,31.35,1880.6,1006.9,3802.0,0.0
2020-01-01 20:00:00+00:00,31.07,1883.5,977.6,3596.0,0.0
2020-01-01 21:00:00+00:00,30.96,1932.5,968.0,3407.0,0.0
2020-01-01 22:00:00+00:00,30.61,2008.8,997.0,3229.0,0.0
2020-01-01 23:00:00+00:00,30.78,2196.0,922.6,3032.0,0.0
2020-01-02 00:00:00+00:00,30.64,2105.5,988.4,2929.0,0.0
2020-01-02 01:00:00+00:00,30.43,2107.3,1036.6,2904.0,0.0
2020-01-02 02:00:00+00:00,28.79,2189.0,1050.9,2952.0,0.0
2020-01-02 03:00:00+00:00,28.42,2317.8,1056.6,3076.0,0.0
2020-01-02 04:00:00+00:00,28.75,2439.3,1128.7,3197.0,0.0
2020-01-02 05:00:00+00:00,33.38,2628.1,1175.3,3612.0,0.0
2020-01-02 06:00:00+00:00,31.79,2673.0,1178.2,4210.0,0.0
2020-01-02 07:00:00+00:00,31.83,2696.3,1194.3,4546.0,0.0
2020-01-02 08:00:00+00:00,31.74,2760.4,1205.0,4662.0,12.0
2020-01-02 09:00:00+00:00,31.63,2709.5,1205.5,4785.0,37.0
2020-01-02 10:00:00+00:00,31.32,2689.9,1200.0,4817.0,54.0
2020-01-02 11:00:00+00:00,31.07,2646.6,1194.8,4785.0,50.0
2020-01-02 12:00:00+00:00,31.06,2621.9,1194.5,4754.0,35.0
2020-01-02 13:00:00+00:00,31.07,2559.3,1205.0,4764.0,18.0
2020-01-02 14:00:00+00:00,31.26,2670.4,1221.7,4762.0,4.0
2020-01-02 15:00:00+00:00,31.41,2755.4,1244.5,5012.0,0.0
2020-01-02 16:00:00+00:00,31.4,2849.8,1269.0,5269.0,0.0
2020-01-02 17:00:00+00:00,31.1,2911.0,1281.4,5080.0,0.0
2020-01-02 18:00:00+00:00,30.75,2917.7,1285.8,4786.0,0.0
2020-01-02 19:00:00+00:00,30.47,3032.5,1291.3,4491.0,0.0
2020-01-02 20:00:00+00:00,30.1,3188.0,1302.3,4216.0,0.0
2020-01-02 21:00:00+00:00,29.71,3317.7,1307.9,3883.0,0.0
2020-01-02 22:00:00+00:00,24.99,3391.3,1311.2,3635.0,0.0
2020-01-02 23:00:00+00:00,18.93,2973.1,1231.1,3408.0,0.0
2020-01-03 00:00:00+00:00,9.98,2975.3,1222.3,3249.0,0.0
2020-01-03 01:00:00+00:00,1.53,2973.1,1219.5,3246.0,0.0
2020-01-03 02:00:00+00:00,0.14,2858.3,1220.5,3281.0,0.0
2020-01-03 03:00:00+00:00,0.85,2859.6,1224.7,3340.0,0.0
2020-01-03 04:00:00+00:00,9.92,2778.9,1179.1,3522.0,0.0
2020-01-03 05:00:00+00:00,24.48,2731.8,983.0,3913.0,0.0
2020-01-03 06:00:00+00:00,26.68,2551.8,974.8,4446.0,0.0
2020-01-03 07:00:00+00:00,28.81,2325.1,1103.0,4718.0,0.0
2020-01-03 08:00:00+00:00,29.28,2545.2,1236.5,4745.0,5.0
2020-01-03 09:00:00+00:00,28.85,2194.7,1180.5,4775.0,25.0
2020-01-03 10:00:00+00:00,31.8,2083.5,1190.8,4766.0,50.0
2020-01-03 11:00:00+00:00,30.39,1993.8,1228.4,4627.0,62.0
2020-01-03 12:00:00+00:00,30.24,1886.1,1256.8,4605.0,60.0
2020-01-03 13:00:00+00:00,30.19,1741.4,1270.0,4485.0,41.0
2020-01-03 14:00:00+00:00,30.4,1704.4,1261.0,4499.0,11.0
2020-01-03 15:00:00+00:00,30.48,1854.0,1229.7,4670.0,0.0
2020-01-03 16:00:00+00:00,30.44,2151.3,1207.6,4976.0,0.0
2020-01-03 17:00:00+00:00,30.16,2417.3,1217.2,4885.0,0.0
2020-01-03 18:00:00+00:00,29.83,2587.3,1249.5,4623.0,0.0
2020-01-03 19:00:00+00:00,28.89,2747.7,1274.8,4354.0,0.0
2020-01-03 20:00:00+00:00,27.7,2946.2,1301.1,4116.0,0.0
2020-01-03 21:00:00+00:00,25.7,3117.3,1326.5,3939.0,0.0
2020-01-03 22:00:00+00:00,22.04,3259.8,1335.7,3749.0,0.0
2020-01-03 23:00:00+00:00,21.73,2688.3,862.1,3333.0,0.0
2020-01-04 00:00:00+00:00,15.95,2783.1,1019.9,3167.0,0.0
2020-01-04 01:00:00+00:00,16.23,2786.3,1117.5,3134.0,0.0
2020-01-04 02:00:00+00:00,6.45,2775.7,1127.7,3132.0,0.0
2020-01-04 03:00:00+00:00,3.83,2692.8,985.3,3172.0,0.0
2020-01-04 04:00:00+00:00,0.12,2706.3,974.0,3276.0,0.0
