date,Day Ahead Auction (ES),"Wind onshore forecast (Day-Ahead, D-1 18:00)","Load forecast (Day-Ahead, D-1 12:00)","Solar forecast (Day-Ahead, D-1 18:00)"
2019-12-31 23:00:00+00:00,41.88,1486.0,23320.0,15.5
2020-01-01 00:00:00+00:00,38.6,1543.0,22592.0,13.0
2020-01-01 01:00:00+00:00,36.55,1595.0,21332.0,11.3
2020-01-01 02:00:00+00:00,32.32,1621.0,20103.0,9.4
2020-01-01 03:00:00+00:00,30.85,1632.0,19371.0,10.5
2020-01-01 04:00:00+00:00,30.14,1666.0,19215.0,10.7
2020-01-01 05:00:00+00:00,30.17,1679.0,19483.0,10.8
2020-01-01 06:00:00+00:00,30.0,1568.0,19956.0,10.8
2020-01-01 07:00:00+00:00,30.65,1426.0,19824.0,76.9
2020-01-01 08:00:00+00:00,30.65,1301.0,19830.0,867.1
2020-01-01 09:00:00+00:00,30.27,1104.0,21115.0,2399.3
2020-01-01 10:00:00+00:00,30.34,937.0,22392.0,3675.5
2020-01-01 11:00:00+00:00,30.99,828.0,23063.0,4471.9
2020-01-01 12:00:00+00:00,30.04,787.0,23941.0,4844.9
2020-01-01 13:00:00+00:00,30.75,759.0,24088.0,4773.6
2020-01-01 14:00:00+00:00,32.11,659.0,23077.0,4366.2
2020-01-01 15:00:00+00:00,35.98,713.0,22493.0,3123.9
2020-01-01 16:00:00+00:00,40.4,817.0,22990.0,1241.8
2020-01-01 17:00:00+00:00,44.05,893.0,25260.0,206.4
2020-01-01 18:00:00+00:00,46.16,1056.0,26317.0,39.4
2020-01-01 19:00:00+00:00,44.02,1219.0,27446.0,39.6
2020-01-01 20:00:00+00:00,45.6,1400.0,27675.0,34.6
2020-01-01 21:00:00+00:00,42.9,1601.0,26984.0,27.5
2020-01-01 22:00:00+00:00,37.55,1804.0,24596.0,30.1
2020-01-01 23:00:00+00:00,35.4,1777.0,22296.0,25.7
2020-01-02 00:00:00+00:00,31.98,1912.0,20452.0,19.7
2020-01-02 01:00:00+00:00,30.5,2073.0,19273.0,4.5
2020-01-02 02:00:00+00:00,28.79,2120.0,18822.0,8.5
2020-01-02 03:00:00+00:00,28.42,2270.0,18822.0,8.8
2020-01-02 04:00:00+00:00,28.75,2429.0,19760.0,8.4
2020-01-02 05:00:00+00:00,34.16,2538.0,22708.0,8.4
2020-01-02 06:00:00+00:00,42.07,2666.0,26468.0,7.9
2020-01-02 07:00:00+00:00,44.89,2827.0,29779.0,67.1
2020-01-02 08:00:00+00:00,45.26,3030.0,32067.0,723.5
2020-01-02 09:00:00+00:00,45.57,3050.0,33644.0,2069.4
2020-01-02 10:00:00+00:00,45.09,2989.0,34358.0,3249.0
2020-01-02 11:00:00+00:00,45.16,2845.0,34690.0,4046.9
2020-01-02 12:00:00+00:00,44.9,2826.0,34273.0,4499.2
2020-01-02 13:00:00+00:00,44.06,2812.0,33091.0,4504.2
2020-01-02 14:00:00+00:00,43.94,2885.0,32210.0,4116.4
2020-01-02 15:00:00+00:00,44.37,3148.0,31796.0,2989.4
2020-01-02 16:00:00+00:00,46.05,3455.0,32237.0,1218.9
2020-01-02 17:00:00+00:00,46.72,3762.0,33400.0,198.5
2020-01-02 18:00:00+00:00,46.11,3936.0,33732.0,25.5
2020-01-02 19:00:00+00:00,43.7,4096.0,34029.0,29.8
2020-01-02 20:00:00+00:00,42.0,4173.0,33544.0,23.9
2020-01-02 21:00:00+00:00,38.6,4193.0,31551.0,22.4
